ID;character_name;build_name;artifact_set_1_label;artifact_set_1;artifact_set_2;artifact_set_3_label;artifact_set_3;artifact_set_4;artifact_set_5_label;artifact_set_5;artifact_set_6;artifact_set_7_label;artifact_set_7;artifact_set_8;sands_1;sands_2;sands_3;goblet_1;goblet_2;circlet_1;circlet_2;circlet_3;substats_1;substats_2;substats_3;substats_4;substats_5;flatstats_1;flatstats_2;er_min;er_max;note
1;Albedo;Geo Sub DPS;Recommended Set;Husk of Opulent Dreams;;Equally Good;Golden Troupe;;;;;;;;DEF%;;;Geo DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;DEF%;Energy Recharge;ATK%;;Flat DEF;;120;150;
2;Alhaitham;Main DPS;;Gilded Dreams;;;Deepwood Memories;;With Furina;Marechaussee Hunter;;;;;Elemental Mastery;;;Dendro DMG Bonus;;CRIT Rate/DMG;;;Elemental Mastery;CRIT Rate/DMG;Energy Recharge;ATK%;;Flat ATK;;120;180;Gilded Dreams >> Deepwood. Only put Deepwoon on him if really no one else in the party can use it. If you play quicken, aim for 200-300 EM before you go into crit. MH is also valid in Nilou Teams without Kirara
3;Arataki Itto;Main DPS;;Husk of Opulent Dreams;;;;;;;;;;;DEF%;;;Geo DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;DEF%;Energy Recharge;ATK%;;Flat DEF;Flat ATK;115;145;
4;Arlecchino;Main DPS;;Fragment of Harmonic Whimsy;;;Gladiator's Finale;;;Unfinished Reverie;;;;;ATK%;Elemental Mastery (Vape);;Pyro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Elemental Mastery (Vape);;;Flat ATK;;;;Add EM when playing Vaporize. Whimsy > Gladiator, but if you have great pieces, the latter can be valid. Reverie only works in burn teams but there can be as good as whimsy (and can be farmed together)
5;Baizhu;Dendro Support Healer;;Deepwood Memories;;;;;;;;;;;HP%;Energy Recharge;;HP%;;HP%;Healing Bonus;;Energy Recharge;HP%;Flat HP;CRIT Rate (Favonius);;;;160;190;Many Dendro DPSs rely on having one party member wear Deepwood while not wanting to equip it themselves. Baizhu can be that party member. This is not for Baizhus own damage, cause it is neglible.
6;Baizhu;Generalist Healer;;Ocean-Hued Clam;;;;;;;;;;;HP%;Energy Recharge;;HP%;;HP%;Healing Bonus;;Energy Recharge;HP%;Flat HP;CRIT Rate (Favonius);;;;180;220;A generalist set when Deepwood is not required/held by someone else. Baizhu maxes out Clamage
7;Barbara;Healer;;Ocean-Hued Clam;;;Maiden Beloved;;;;;;;;HP%;;;HP%;;Healing Bonus;HP%;CRIT Rate (Favonius);HP%;Flat HP;Energy Recharge;CRIT Rate (Favonius);;;;n/a;n/a;do not farm Maiden Beloved only for Barbara
8;Barbara;Bloom DPS;;Gilded Dreams;;;;;;;;;;;Elemental Mastery;;;Elemental Mastery;;Elemental Mastery;;;Elemental Mastery;HP%;Flat HP;;;;;n/a;n/a;Niche Build
9;Beidou;Off-Field Burst DPS;;Emblem of Severed Fate;;;Thundersoother;;;;;;;;ATK%;Energy Recharge;;Electro DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;Elemental Mastery (Quicken);;Flat ATK;;150;220;
10;Beidou;Main DPS;;Gladiator's Finale;Thundering Fury;;;;;;;;;;ATK%;;;Electro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Energy Recharge;;;Flat ATK;;;;
